,aveIF,cocount2008,count5years,highIF,his_count,modi_name,revcount,selfcount2008,sumIF,t_cost,zipcode
19,1.804,2,1,1.804,4.0,"ABBOTT, CHRIS",1,1,1.804,522336.0,87131
20,3.53446478873,66,48,8.851,174.0,"ABBOTT, DEREK",4,71,250.947,2295233.0,44106
21,5.06994230769,13,38,29.886,89.0,"ABBOTT, GEOFFREY",9,52,263.637,3109202.0,92617
22,4.35975,6,3,10.514,14.0,"ABBOTT, JAKE",2,4,17.439,1699977.0,84112
23,1.989,3,0,1.989,8.0,"ABBOTT, LAURENCE",0,1,1.989,1545502.0,10032
24,0.962,9,0,0.962,15.0,"ABBOTT, MICHAEL",0,2,1.924,99663.0,24060
25,8.53432467532,59,50,40.137,187.0,"ABBOTT, NICHOLAS",6,77,657.143,924580.0,53715
26,8.9689,55,13,72.406,129.0,"ABBOUD, HANNA",4,20,179.378,917302.0,78229
27,5.363,9,1,5.363,13.0,"ABBOUD-WERNER, SHERRY",0,1,5.363,1186010.0,78229
28,3.21822222222,11,5,3.867,37.0,"ABBRUSCATO, THOMAS",2,9,28.964,1157903.0,79430
29,3.48333333333,9,1,5.255,21.0,"ABBUHL, STEPHANIE",1,3,10.45,339925.0,19104
30,0.0,0,0,0.0,0.0,"ABD ELMAGEED,",0,0,0.0,494510.0,70118
31,1.76463157895,2,9,2.906,33.0,"ABDALA, CAROLINA",0,19,33.528,1744121.0,90033
32,2.40027777778,1,12,2.916,24.0,"ABDALA, NADIA",1,18,43.205,423666.0,6520
33,6.47113636364,30,20,14.2,54.0,"ABDALLAH, CHADI",5,22,142.365,521809.0,6520
34,0.0,0,0,0.0,0.0,"ABDEL BAKI,",0,0,0.0,619656.0,11226
35,0.0,0,0,0.0,0.0,"ABDEL MOHSEN,",0,0,0.0,578750.0,19104
36,4.71468181818,41,14,19.309,75.0,"ABDEL-LATIF, AHMED",6,22,103.723,757709.0,40526
37,4.07566666667,8,6,6.287,41.0,"ABDEL-MALEK, ZALFA",4,9,36.681,1763155.0,45221
38,3.8925,3,2,8.384,15.0,"ABDEL-MOTAL, USSAMA",2,6,23.355,77188.0,2215
39,3.33421621622,10,25,5.363,93.0,"ABDEL-RAHMAN, ABDEL",2,37,123.366,1307609.0,27858
40,2.84729166667,45,12,10.597,98.0,"ABDEL-RAHMAN, MOHAMED",3,24,68.335,368445.0,43210
41,2.63696296296,16,16,5.705,79.0,"ABDEL-RAHMAN, SUSAN",4,27,71.198,157437.0,64108
42,11.878375,101,41,29.886,170.0,"ABDEL-WAHAB, OMAR",17,48,570.162,1089264.0,10065
43,8.5059375,10,5,27.312,40.0,"ABDELLATIF, MAHA",5,16,136.095,3192854.0,7103
44,5.03288888889,32,19,13.164,90.0,"ABDI, REZA",5,36,181.184,3117009.0,2115
45,8.59533333333,23,23,15.745,90.0,"ABDUL-GHANI, MUHAMMAD",11,39,335.218,2215524.0,78229
46,4.67885714286,10,3,6.78,17.0,"ABDUL-HAY, SAMER",0,7,32.752,63550.0,32224
47,5.18946153846,5,10,12.784,34.0,"ABDULKADIR, SARKI",2,13,67.463,3437645.0,60611
48,2.71405882353,37,13,5.705,83.0,"ABDULLAH, ABU",2,17,46.139,321520.0,2118
49,4.17366666667,19,2,5.275,31.0,"ABDULMALIK, OSHEIZA",0,3,12.521,460784.0,19104
50,6.333,13,2,18.164,22.0,"ABDULREDA, MIDHAT",1,6,37.998,383750.0,33146
51,9.43328571429,28,18,19.309,103.0,"ABE, JUN-ICHI",6,28,264.132,5122202.0,77030
52,14.4360731707,219,26,40.137,314.0,"ABECASIS, GONCALO",3,41,591.879,16989366.0,48109
53,5.3715,99,9,13.246,162.0,"ABECASSIS, MICHAEL",1,22,118.173,2429817.0,60611
54,2.936,3,3,3.834,16.0,"ABEIJON, CLAUDIA",1,3,8.808,1631946.0,1581
55,0.0,0,0,0.0,0.0,"ABEL, E",0,0,0.0,4802766.0,52246
56,0.0,2,0,0.0,3.0,"ABEL, EDWIN",0,0,0.0,3815860.0,52246
57,3.19446666667,2,5,6.273,21.0,"ABEL-SANTOS, ERNESTO",1,15,47.917,2368923.0,89154
58,20.2571052632,1,15,40.137,31.0,"ABELIOVICH, ASA",4,19,384.885,7849004.0,10032
59,9.901,6,1,23.394,21.0,"ABELL, AMY",1,4,39.604,817267.0,38152
60,5.63159183673,80,30,19.309,152.0,"ABELLA, BENJAMIN",8,49,275.948,1669589.0,19104
61,6.07588888889,35,10,14.2,73.0,"ABELSON, JAMES",2,18,109.366,2914316.0,48109
62,0.0,0,0,0.0,0.0,"ABER, J.",0,0,0.0,456482.0,10012
63,4.863,2,1,5.02,11.0,"ABERCROMBIE, ELIZABETH",0,2,9.726,331209.0,7102
64,4.25366666667,1,3,4.788,17.0,"ABERCROMBIE, HEATHER",1,6,25.522,2167476.0,53715
65,6.65705882353,19,11,15.307,42.0,"ABERG, KAROLINA",0,17,113.17,764700.0,23298
66,7.55285185185,8,19,25.87,42.0,"ABERGEL, REBECCA",0,27,203.927,263025.0,94720
67,2.165,9,2,2.753,14.0,"ABERNETHY, NEIL",1,2,4.33,1023191.0,98195
68,9.611,38,19,29.886,112.0,"ABI-DARGHAM, ANISSA",4,28,269.108,2323294.0,11794
69,0.0,6,0,0.0,14.0,"ABID, RUHUL",0,0,0.0,402500.0,2903
70,16.0692,5,7,19.791,19.0,"ABIDIAN, MOHAMMAD",2,10,160.692,1260447.0,77204
71,5.733,5,6,19.309,15.0,"ABIR, MAHSHID",0,6,34.398,1264701.0,48109
72,5.36088888889,15,6,11.412,27.0,"ABISAMBRA, JOSE",1,9,48.248,972411.0,40526
73,16.273,13,11,72.406,48.0,"ABKOWITZ, JANIS",0,18,292.914,3466224.0,98195
74,2.62385714286,14,3,3.712,26.0,"ABLASHI, DHARAM",3,7,18.367,4000.0,93108
75,10.5125,5,4,23.394,15.0,"ABLES, ELIZABETH",0,6,63.075,434873.0,27858
76,3.574,26,9,5.498,52.0,"ABLONCZY, ZSOLT",2,10,35.74,1037220.0,29403
77,7.71444230769,48,40,19.896,180.0,"ABMAN, STEVEN",12,52,401.151,2216062.0,80045
78,6.4095,19,6,30.41,47.0,"ABMAYR, SUSAN",2,12,76.914,332450.0,64110
79,3.28625,19,6,7.307,44.0,"ABNEY, MARK",0,12,39.435,1568102.0,60637
80,3.93808333333,33,9,6.259,65.0,"ABOOD, MARY",1,12,47.257,2722904.0,19122
81,6.259,22,2,6.259,30.0,"ABOU-GHARBIA, MAGID",0,3,18.777,1629359.0,19122
82,4.9291,13,11,9.619,50.0,"ABOUNADER, ROGER",4,20,98.582,3144517.0,22904
83,3.97426666667,60,10,8.966,79.0,"ABRAHAM, ALISON",0,15,59.614,1766631.0,21205
84,4.043,7,10,6.78,33.0,"ABRAHAM, CARMELA",0,14,56.602,855556.0,2118
85,13.06764,21,18,72.406,61.0,"ABRAHAM, CLARA",5,25,326.691,4150519.0,6520
86,2.69436363636,0,5,2.806,23.0,"ABRAHAM, EDATHARA",0,11,29.638,678600.0,72205
87,3.3596,38,18,9.619,80.0,"ABRAHAM, JEAN",3,25,83.99,147556.0,55455
88,1.90690909091,12,9,2.888,23.0,"ABRAHAM, KRISTEN",0,11,20.976,417827.0,48221
89,2.28654545455,10,9,4.029,21.0,"ABRAHAM, MARIA",0,11,25.152,1399361.0,21205
90,0.0,0,0,0.0,0.0,"ABRAHAM, MENACHEM",0,0,0.0,1490552.0,2116
91,5.5828,49,8,17.893,158.0,"ABRAHAM, NADER",3,25,139.57,592543.0,25755
92,15.0451071429,21,16,39.737,77.0,"ABRAHAM, SOMAN",8,28,421.263,3271878.0,27705
93,7.21248979592,63,34,19.896,164.0,"ABRAHAM, THEODORE",3,49,353.412,471229.0,21205
94,3.38858823529,28,18,5.426,86.0,"ABRAHAMS, VIKKI",5,34,115.212,2509541.0,6520
95,2.60866666667,19,3,4.02,33.0,"ABRAIDO-LANZA, ANA",1,3,7.826,2845562.0,10032
96,7.06816666667,8,5,15.066,27.0,"ABRAMOVITCH, ROBERT",1,6,42.409,1565819.0,48824
97,3.73176923077,32,20,6.926,80.0,"ABRAMS, BARBARA",4,26,97.026,874245.0,94704
98,4.95152631579,13,14,13.858,50.0,"ABRAMS, CAMERON",0,19,94.079,1380935.0,19102
99,7.50677777778,23,18,13.164,85.0,"ABRAMS, CHARLES",6,27,202.683,1830275.0,60612
100,6.3288627451,105,39,47.831,222.0,"ABRAMS, ELAINE",7,51,322.772,3854656.0,10032
101,12.2159090909,5,7,40.137,38.0,"ABRAMS, JOHN",1,11,134.375,3406758.0,75390
102,9.06814705882,40,20,47.831,80.0,"ABRAMS, JULIAN",2,34,308.317,162372.0,10032
103,0.0,5,0,0.0,5.0,"ABRAMS, LISA",0,0,0.0,752407.0,23298
104,4.663875,22,11,12.784,64.0,"ABRAMS, SCOTT",3,16,74.622,2817191.0,14263
105,8.979,23,6,24.008,39.0,"ABRAMS, THOMAS",1,10,89.79,1485000.0,21201
106,0.0,0,0,0.0,0.0,"ABRAMSON, JEFFREY",0,0,0.0,3082890.0,90095
107,4.394,6,2,4.866,14.0,"ABRAMSON, JONATHAN",0,2,8.788,1850157.0,97201
108,10.8898666667,36,9,72.406,101.0,"ABRAMSON, STEVEN",3,15,163.348,5062048.0,10010
109,2.377875,71,10,3.105,113.0,"ABRANTES, ANA",0,16,38.046,5605809.0,2906
110,2.82933333333,10,2,3.867,18.0,"ABREU, EDUARDO",1,3,8.488,456750.0,64110
111,8.60316,67,27,72.406,189.0,"ABREU, MARIA",12,50,430.158,2832194.0,33146
112,3.91377777778,14,14,10.228,40.0,"ABROMS, LORIEN",5,18,70.448,380145.0,20052
113,5.4698,115,5,11.908,121.0,"ABSHER, DEVIN",0,5,27.349,4000.0,35806
114,0.0,0,0,0.0,0.0,"ABU KWAIK,",0,0,0.0,1936500.0,40208
115,4.0454375,9,8,9.661,45.0,"ABU-AMER, YOUSEF",2,16,64.727,3901291.0,63130
116,2.93611363636,24,34,5.574,90.0,"ABUHAMAD, ALFRED",11,44,129.189,2085113.0,23501
117,6.69892307692,38,13,27.312,91.0,"ABUMRAD, NADA",5,26,174.172,5087447.0,63130
118,6.62847058824,29,5,18.392,63.0,"ABUMRAD, NAJI",1,17,112.684,3751223.0,37232
119,2.25966666667,4,3,2.806,9.0,"ABUOGI, LISA",1,3,6.779,1654334.0,80045
120,12.909,26,7,40.137,44.0,"ABYZOV, ALEXEJ",0,10,129.09,177420.0,55905
121,0.0,1,0,0.0,1.0,"ABZHANOV, ARKHAT",0,0,0.0,211250.0,2138
122,10.4335555556,4,7,37.205,30.0,"ACCARDI, ALESSIO",1,9,93.902,2812995.0,10065
123,14.8508039216,33,32,37.205,136.0,"ACCILI, DOMENICO",4,51,757.391,7641576.0,10032
124,7.74516666667,7,4,13.965,15.0,"ACCORNERO, FEDERICA",1,6,46.471,867475.0,43210
125,1.911,6,0,2.41,14.0,"ACCORNERO, VERONICA",1,2,3.822,687871.0,33146
126,9.237,6,0,9.237,12.0,"ACEROS, JUAN",0,1,9.237,34452.0,32224
127,2.5956,12,4,3.222,20.0,"ACEVEDO, ANDREA",0,5,12.978,159854.0,2453
128,0.0,0,0,0.0,0.0,"ACEVEDO, IGNACIO",0,0,0.0,364441.0,48859
129,8.19140740741,21,18,18.392,58.0,"ACEVES, SEEMA",10,27,221.168,2311518.0,92093
130,6.85525,8,8,37.205,23.0,"ACHARYA, AMIT",0,8,54.842,322554.0,54449
131,8.348,4,3,13.942,17.0,"ACHARYA, GHANASHYAM",0,5,41.74,394538.0,77030
132,4.259,0,1,4.259,2.0,"ACHARYA, SUCHISMITA",0,1,4.259,273826.0,75220
133,6.22766666667,0,5,14.024,23.0,"ACHARYA, USHA",0,12,74.732,1757032.0,1655
134,11.7058,5,4,30.41,17.0,"ACHARYYA, SWARNALI",0,5,58.529,737034.0,10032
135,4.084,4,5,11.124,26.0,"ACHE, BARRY",2,11,44.924,1609697.0,60025
136,6.96738461538,83,36,47.928,190.0,"ACHILEFU, SAMUEL",7,65,452.88,4657938.0,63130
137,4.03616666667,10,5,5.574,18.0,"ACHILLES, SHARON",1,6,24.217,2686357.0,15213
138,3.30566666667,29,11,5.003,56.0,"ACHIM, CRISTIAN",0,15,49.585,2942524.0,92093
139,5.773,7,8,19.958,32.0,"ACHKAR, JACQUELINE",6,15,86.595,2363743.0,10461
140,5.6923,6,3,19.309,22.0,"ACHNECK, HARDEAN",4,10,56.923,235500.0,27705
141,4.5352,12,5,9.661,32.0,"ACKERMAN, KATE",0,5,22.676,1019237.0,14627
142,8.72437931034,33,25,72.406,69.0,"ACKERMAN, MARGARET",8,29,253.007,2836903.0,3755
143,8.83165765766,153,104,72.406,590.0,"ACKERMAN, MICHAEL",14,111,980.314,2674905.0,55905
144,8.0948,11,7,16.658,39.0,"ACKERMAN, STEVEN",3,10,80.948,40500.0,53202
145,12.5512352941,28,11,37.205,74.0,"ACKERMAN, SUSAN",4,17,213.371,1753372.0,92093
146,4.43216666667,6,9,5.68,21.0,"ACKERMANN, MAEGEN",0,12,53.186,492148.0,43210
147,5.06157692308,27,20,17.135,76.0,"ACKERMANN, RONALD",9,26,131.601,2063810.0,60611
148,8.89061538462,12,12,13.942,35.0,"ACKERSON, CHRISTOPHER",0,13,115.578,1205418.0,80523
149,4.71755555556,23,6,6.284,49.0,"ACKERT-BICKNELL, CHERYL",3,9,42.458,865461.0,14627
150,2.59585714286,24,2,3.729,73.0,"ACLAND, GREGORY",1,7,18.171,795114.0,14850
151,1.559,16,9,3.354,36.0,"ACOSTA, JOIE",4,9,14.031,2624984.0,90401
152,0.0,0,0,0.0,0.0,"ACOSTA, MARICEDES",0,0,0.0,242769.0,11794
153,2.53916666667,12,3,3.434,22.0,"ACOSTA, MICHELLE",2,6,15.235,3052619.0,10010
154,2.88671428571,11,5,3.332,42.0,"ACOTT, TED",5,7,20.207,3558335.0,97239
155,1.426125,10,8,1.969,22.0,"ACRI, MARY",1,8,11.409,199875.0,10016
156,3.12215789474,20,11,4.665,59.0,"ACTIS, LUIS",2,19,59.321,359805.0,45056
157,2.73741935484,14,13,6.429,78.0,"ACTOR, JEFFREY",5,31,84.86,1040046.0,77054
158,0.0,0,0,0.0,0.0,"ACWORTH, EDWARD",0,0,0.0,1691600.0,2210
159,4.125,18,2,4.125,30.0,"ADACHI, ROBERTO",0,3,12.375,1738845.0,77030
160,5.1409375,143,20,47.831,224.0,"ADAIR, LINDA",3,32,164.51,2463198.0,27599
161,4.33742857143,28,9,11.764,76.0,"ADAM, ROSALYN",1,14,60.724,3319661.0,2115
162,3.036625,19,6,3.41,32.0,"ADAMCZYK, PETER",1,8,24.293,407026.0,48104
163,3.21528571429,1,5,4.794,19.0,"ADAMI, GUY",1,7,22.507,148530.0,60611
164,17.4093043478,214,14,72.406,367.0,"ADAMI, HANS-OLOV",1,23,400.414,911412.0,2115
165,2.93527272727,13,5,4.286,33.0,"ADAMO, MARTIN",3,11,32.288,459602.0,78229
166,6.3448,11,14,12.811,40.0,"ADAMOPOULOS, IANNIS",4,15,95.172,1656060.0,95618
167,3.2074,15,3,5.988,48.0,"ADAMOVICH, SERGEI",1,10,32.074,1062042.0,7102
168,2.0496,27,4,2.742,35.0,"ADAMOVICS, JOHN",1,5,10.248,299962.0,8558
169,0.0,0,0,0.0,0.0,"ADAMS LARSEN,",0,0,0.0,4381713.0,30033
170,2.5628,38,13,5.255,88.0,"ADAMS, ALEXANDRA",3,20,51.256,3533577.0,53715
171,8.00275,10,2,13.858,16.0,"ADAMS, ANDRE",0,4,32.011,10000.0,2892
172,7.3785,45,22,41.667,95.0,"ADAMS, ANDREW",5,24,177.084,1868890.0,30322
173,2.248,12,2,2.806,18.0,"ADAMS, ANNE",0,2,4.496,999132.0,30339
174,4.85708888889,130,23,18.164,266.0,"ADAMS, CHRISTOPHER",2,45,218.569,1647469.0,52246
175,3.98346875,43,27,9.661,98.0,"ADAMS, DANIEL",4,32,127.471,182850.0,20854
176,4.36766666667,51,12,24.008,92.0,"ADAMS, DENISE",8,18,78.618,744481.0,2115
177,3.31164285714,55,9,4.9,100.0,"ADAMS, DOUGLAS",1,14,46.363,1001243.0,6030
178,10.788,35,24,28.396,84.0,"ADAMS, ERIN",7,30,323.64,4827216.0,60637
179,3.39222222222,36,11,7.592,77.0,"ADAMS, HEATHER",2,18,61.06,30000.0,14627
180,0.0,0,0,0.0,1.0,"ADAMS, JANN",0,0,0.0,290546.0,30314
181,9.85571428571,16,3,13.164,66.0,"ADAMS, JERRY",2,7,68.99,29500.0,72032
182,4.22,11,1,4.22,38.0,"ADAMS, JOE",0,1,4.22,196250.0,2114
183,3.77006493506,167,42,72.406,527.0,"ADAMS, JOHN",11,77,290.295,9959275.0,33612
184,4.56510526316,24,12,14.714,70.0,"ADAMS, JOSEPH",1,19,86.737,3963998.0,92093
185,4.101,32,4,7.738,75.0,"ADAMS, KENNETH",0,10,41.01,148761.0,55155
186,4.23930769231,48,4,6.968,122.0,"ADAMS, KIRKWOOD",6,13,55.111,705793.0,27599
187,3.27310526316,40,15,4.563,71.0,"ADAMS, MARC",3,19,62.189,1787601.0,85287
188,4.33297435897,198,52,9.661,438.0,"ADAMS, MARK",5,78,337.972,1827852.0,20850
189,4.25700934579,168,93,12.198,566.0,"ADAMS, MICHAEL",8,107,455.5,319994.0,92521
190,6.63004,83,23,47.831,263.0,"ADAMS, RICHARD",6,50,331.502,2987947.0,22901
191,5.64372463768,196,46,47.831,408.0,"ADAMS, ROBERT",5,69,389.417,1378664.0,21205
192,3.38655555556,34,11,10.251,69.0,"ADAMS, SALLY",1,18,60.958,237500.0,94118
193,3.56893103448,36,19,5.233,84.0,"ADAMS, SEAN",4,29,103.499,221573.0,94710
194,3.56990909091,50,11,12.124,111.0,"ADAMS, STEPHEN",9,22,78.538,576372.0,92093
195,3.36342857143,39,6,5.997,55.0,"ADAMS, SWANN",2,7,23.544,425800.0,29208
196,3.43452941176,126,66,9.661,349.0,"ADAMS, WILLIAM",16,85,291.935,2648202.0,2134
197,2.62128,53,17,6.926,130.0,"ADAMS-CAMPBELL, LUCILE",1,25,65.532,372551.0,20057
198,0.0,9,0,0.0,16.0,"ADAMSON, AARON",0,0,0.0,430094.0,91010
199,3.34933333333,0,2,4.556,10.0,"ADAMSON, AMY",0,3,10.048,427244.0,27402
200,3.5321,15,7,4.195,31.0,"ADAMSON, LAUREN",0,10,35.321,1509483.0,30302
201,0.0,0,0,0.0,0.0,"ADAN, NATALIE",0,0,0.0,30000.0,30334
202,8.57378571429,36,10,19.309,55.0,"ADAR, SARA",1,14,120.033,426250.0,48109
203,0.0,0,0,0.0,0.0,"ADCOCK, RACHEL",0,0,0.0,3173923.0,27705
204,4.388,2,1,4.388,7.0,"ADDIS, ILANA",0,1,4.388,151500.0,85721
205,4.16992307692,8,11,11.412,30.0,"ADDY, NII",0,13,54.209,1301850.0,6520
206,4.30414285714,57,24,47.831,115.0,"ADEBAMOWO, CLEMENT",1,28,120.516,1213481.0,21201
207,4.39341666667,12,9,13.965,38.0,"ADEBIYI, ADEBOWALE",1,12,52.721,1276000.0,38103
208,9.09744444444,33,5,17.839,77.0,"ADELMAN, JOHN",3,9,81.877,2900399.0,97239
209,6.74938888889,12,13,41.667,38.0,"ADELMAN, ZACH",4,18,121.489,1965984.0,77843
210,11.0495609756,49,18,41.667,134.0,"ADEREM, ALAN",8,41,453.032,8716754.0,98109
211,4.73322222222,4,5,9.797,19.0,"ADES, SARAH",2,9,42.599,1334567.0,16802
212,18.6629,7,8,40.137,24.0,"ADESNIK, HILLEL",2,10,186.629,1898519.0,94704
213,18.4353333333,14,5,40.137,20.0,"ADEY, ANDREW",0,6,110.612,382272.0,97239
214,2.03,2,1,2.03,6.0,"ADEY, NILS",0,1,2.03,958239.0,84119
215,4.07088888889,8,6,9.776,45.0,"ADGATE, JOHN",0,9,36.638,426427.0,80045
216,12.9643333333,9,2,40.137,17.0,"ADHIKARI, AVISHEK",1,6,77.786,249000.0,90095
217,2.989,4,7,6.273,20.0,"ADHIKARI, RAJAN",1,8,23.912,1485706.0,20850
218,3.0366,10,3,4.125,23.0,"ADHIKARI, SANJAY",1,10,30.366,76459.0,77030
219,10.7401111111,4,5,47.831,17.0,"ADIBI, JENNIFER",0,9,96.661,857973.0,15213
220,4.4916,26,3,9.661,34.0,"ADIE, STEVEN",0,5,22.458,678829.0,14850
221,5.58524137931,61,21,72.406,125.0,"ADIMORA, ADAORA",3,29,161.972,1007762.0,27599
222,7.197,12,4,12.784,18.0,"ADINI, IRIT",0,4,28.788,384750.0,2114
223,4.9552,33,24,14.176,87.0,"ADINOFF, BRYON",5,35,173.432,844451.0,75390
224,4.78225,13,10,6.076,34.0,"ADKINS, DEANNA",3,12,57.387,943791.0,29403
225,0.0,1,0,0.0,1.0,"ADKINS, REBECCA",0,0,0.0,422000.0,33146
226,3.79095744681,55,38,9.122,142.0,"ADLER, ADAM",7,47,178.175,2966097.0,6030
227,6.90047619048,44,11,19.651,85.0,"ADLER, GAIL",5,21,144.91,852185.0,2115
228,4.78529166667,30,15,25.062,66.0,"ADLER, JEREMY",2,24,114.847,232625.0,48109
229,0.0,0,0,0.0,0.0,"ADLER, JILL",0,0,0.0,2188631.0,91768
230,4.858,19,4,13.204,100.0,"ADLER, KENNETH",1,11,53.438,951924.0,27713
231,3.654,18,0,5.491,61.0,"ADLER, MARTIN",0,7,25.578,467899.0,19140
232,4.27725,8,15,15.333,64.0,"ADLER, PAUL",3,24,102.654,1107422.0,22904
233,15.9348,18,7,41.667,31.0,"ADLI, MAZHAR",2,10,159.348,429211.0,22904
234,1.69875,2,3,2.323,14.0,"ADLOF, SUZANNE",0,4,6.795,435744.0,29208
235,2.9665,18,1,3.083,26.0,"ADLURU, GANESH",0,4,11.866,378750.0,84112
236,3.74362790698,12,31,16.455,71.0,"ADOLPH, KAREN",1,43,160.976,3084569.0,10012
237,8.46225974026,33,50,40.137,171.0,"ADOLPHS, RALPH",13,77,651.594,380304.0,91125
238,3.6445,28,1,3.924,50.0,"ADRIANY, GREGOR",0,4,14.578,149999.0,55082
239,6.233796875,60,51,24.008,181.0,"ADUSUMILLI, PRASAD",9,64,398.963,857607.0,10065
240,10.74725,10,4,12.124,21.0,"ADVANI, SUNIL",0,4,42.989,448338.0,92093
241,3.63155555556,29,12,6.513,87.0,"AFAQ, FARRUKH",7,18,65.368,494223.0,35294
242,3.173,19,24,8.299,63.0,"AFARI, NILOOFAR",4,31,98.363,1022235.0,92161
243,0.0,0,0,0.0,0.0,"AFASIZHEV, RUSLAN",0,0,0.0,6087506.0,2118
244,0.0,0,0,0.0,0.0,"AFASIZHEVA, INNA",0,0,0.0,1227750.0,2118
245,0.0,0,0,0.0,0.0,"AFFUSO, HELEN",0,0,0.0,2402384.0,35294
246,4.749,14,4,8.966,25.0,"AFKARIAN, MARYAM",1,4,18.996,1341324.0,95618
247,14.6657333333,17,11,38.986,36.0,"AFONIN, KIRILL",0,15,219.986,359895.0,28223
248,7.84805,14,17,13.164,46.0,"AFSHAR-KHARGHAN, VAHID",2,20,156.961,1650040.0,77030
249,6.17547058824,50,7,47.831,85.0,"AFT, REBECCA",2,17,104.983,1967819.0,63130
250,1.73476190476,6,15,2.916,45.0,"AGADJANIAN, VICTOR",2,21,36.43,849911.0,66045
251,3.8452,14,6,6.78,48.0,"AGADJANYAN, MICHAEL",0,10,38.452,2886919.0,92647
252,4.08268,2,19,8.402,40.0,"AGAH, MASOUD",0,25,102.067,812253.0,24061
253,7.04183333333,5,16,47.831,37.0,"AGAISSE, HERVE",2,18,126.753,2666042.0,22904
254,9.873,11,6,14.024,24.0,"AGALLIU, DRITAN",0,8,78.984,2611720.0,10032
255,12.162547619,4,37,40.137,58.0,"AGAPIE, THEODOR",0,42,510.827,1436239.0,91125
256,4.37272222222,10,10,9.797,38.0,"AGAR, JEFFREY",1,18,78.709,665571.0,2115
257,6.04953333333,28,10,9.797,51.0,"AGAR, NATHALIE",1,15,90.743,812062.0,2115
258,9.06557894737,50,17,40.137,125.0,"AGARD, DAVID",2,38,344.492,2545448.0,94118
259,5.3384,24,6,12.124,51.0,"AGARWAL, ANKIT",2,10,53.384,1826485.0,53711
260,6.40256,49,17,19.309,141.0,"AGARWAL, ANUPAM",9,25,160.064,1247835.0,35294
261,9.662625,27,6,13.164,37.0,"AGARWAL, ANUPRIYA",0,8,77.301,738301.0,97239
262,4.29144444444,7,44,9.122,120.0,"AGARWAL, CHAPLA",4,63,270.361,322493.0,80045
263,3.52791428571,15,27,24.008,65.0,"AGARWAL, JAYANT",2,35,123.477,766233.0,84112
264,4.64669230769,17,5,11.857,66.0,"AGARWAL, MUKESH",1,13,60.407,2046558.0,40506
265,4.61505607477,57,64,9.619,259.0,"AGARWAL, RAJESH",16,107,493.811,4871391.0,80045
266,5.39033064516,40,56,72.406,290.0,"AGARWAL, RAJIV",28,124,668.401,1969912.0,46202
267,6.26794444444,27,7,14.789,62.0,"AGARWAL, SANDEEP",8,18,112.823,1744669.0,77030
268,0.0,0,0,0.0,1.0,"AGARWAL, SANDIP",0,0,0.0,224790.0,2155
269,16.8918888889,18,6,40.137,34.0,"AGARWAL, SUNEET",0,9,152.027,796500.0,2115
270,13.638,14,8,47.928,28.0,"AGARWAL, VINAYAK",1,9,122.742,249000.0,30318
271,4.06425,81,23,6.688,161.0,"AGBANDJE-MCKENNA, MAVIS",3,28,113.799,4107400.0,2892
272,7.30142857143,16,14,40.137,87.0,"AGGARWAL, ANEEL",0,28,204.44,5998822.0,10029
273,4.7347,7,9,6.559,18.0,"AGGARWAL, MANISHA",1,10,47.347,591703.0,21205
274,0.0,0,0,0.0,0.0,"AGGEN, WILLIAM",0,0,0.0,97570.0,21403
